Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-16,Monday,Indigo,6E-7192,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.9167,1.0,12803.0
2023-01-16,Monday,Indigo,6E-822,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,6.4167,1.0,13108.0
2023-01-16,Monday,Indigo,6E-6021,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.75,1.0,13140.0
2023-01-16,Monday,Indigo,6E-6472,Economy,Kolkata,Before 6 AM,1-stop,6 AM - 12 PM,Delhi,6.1667,1.0,13142.0
2023-01-16,Monday,GO FIRST,G8-888,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,7.3333,1.0,13842.0
2023-01-16,Monday,Indigo,6E-874,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.0833,1.0,13877.0
2023-01-16,Monday,Vistara,UK-778,Economy,Kolkata,12 PM - 6 PM,non-stop,12 PM - 6 PM,Delhi,2.4167,1.0,14277.0
2023-01-16,Monday,Indigo,6E-374,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.9167,1.0,16456.0
2023-01-16,Monday,Indigo,6E-5225,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.5,1.0,16456.0
2023-01-16,Monday,Indigo,6E-476,Economy,Kolkata,After 6 PM,1-stop,Before 6 AM,Delhi,7.3333,1.0,14220.0
2023-01-16,Monday,Indigo,6E-6623,Economy,Kolkata,Before 6 AM,1-stop,6 AM - 12 PM,Delhi,6.5,1.0,14579.0
2023-01-16,Monday,Indigo,6E-861,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.6667,1.0,14579.0
2023-01-16,Monday,Vistara,UK-776,Economy,Kolkata,12 PM - 6 PM,2+-stop,12 PM - 6 PM,Delhi,21.1667,1.0,14905.0
2023-01-16,Monday,Indigo,6E-798,Economy,Kolkata,After 6 PM,1-stop,Before 6 AM,Delhi,6.1667,1.0,14962.0
2023-01-16,Monday,Vistara,UK-772,Economy,Kolkata,6 AM - 12 PM,2+-stop,12 PM - 6 PM,Delhi,28.3333,1.0,15419.0
2023-01-16,Monday,Indigo,6E-7561,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.4167,1.0,16043.0
2023-01-16,Monday,Indigo,6E-6128,Economy,Kolkata,Before 6 AM,1-stop,6 AM - 12 PM,Delhi,7.5,1.0,16062.0
2023-01-16,Monday,Indigo,6E-7234,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.6667,1.0,16154.0
2023-01-16,Monday,Indigo,6E-6214,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.0833,1.0,16202.0
2023-01-16,Monday,Vistara,UK-774,Economy,Kolkata,After 6 PM,1-stop,6 AM - 12 PM,Delhi,11.25,1.0,19002.0
2023-01-16,Monday,AirAsia,I5-583,Economy,Kolkata,12 PM - 6 PM,2+-stop,After 6 PM,Delhi,9.0,1.0,20373.0
2023-01-16,Monday,Air India,AI-785,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.25,1.0,20787.0
2023-01-16,Monday,Air India,AI-526,Economy,Kolkata,After 6 PM,1-stop,6 AM - 12 PM,Delhi,13.9167,1.0,21276.0
2023-01-16,Monday,Indigo,6E-394,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.0833,1.0,21995.0
2023-01-16,Monday,Air India,AI-773,Economy,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,16.0,1.0,23097.0
2023-01-16,Monday,Indigo,6E-292,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.4167,1.0,22856.0
2023-01-16,Monday,Air India,AI-787,Economy,Kolkata,Before 6 AM,1-stop,12 PM - 6 PM,Delhi,9.1667,1.0,24114.0
2023-01-16,Monday,Air India,AI-770,Business,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.5833,1.0,29648.0
2023-01-16,Monday,Air India,AI-727,Business,Kolkata,Before 6 AM,1-stop,After 6 PM,Delhi,13.0,1.0,49372.0
2023-01-16,Monday,Air India,AI-733,Business,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,9.0,1.0,55139.0
2023-01-17,Tuesday,Indigo,6E-6241,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.8333,2.0,8770.0
2023-01-17,Tuesday,Indigo,6E-7583,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.25,2.0,17252.0
2023-01-17,Tuesday,Indigo,6E-207,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.8333,2.0,17270.0
2023-01-17,Tuesday,Indigo,6E-7305,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.9167,2.0,23097.0
2023-01-18,Wednesday,Air India,AI-721,Economy,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,26.5833,3.0,10884.0
2023-01-19,Thursday,Indigo,6E-6441,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.75,4.0,9668.0
