flight_num,from,to
G8-354,Delhi,Kolkata
G8-7533,Delhi,Kolkata
G8-713,Delhi,Kolkata
I5-829,Delhi,Kolkata
6E-171,Delhi,Kolkata
G8-1404,Delhi,Kolkata
G8-530,Delhi,Kolkata
G8-2501,Delhi,Kolkata
UK-859,Delhi,Kolkata
SG-1074,Delhi,Kolkata
G8-145,Delhi,Kolkata
G8-7549,Delhi,Kolkata
6E-2343,Delhi,Kolkata
6E-6261,Delhi,Kolkata
6E-2478,Delhi,Kolkata
6E-221,Delhi,Kolkata
6E-2102,Delhi,Kolkata
6E-251,Delhi,Kolkata
AI-9887,Delhi,Kolkata
I5-737,Delhi,Kolkata
SG-8941,Delhi,Kolkata
I5-735,Delhi,Kolkata
6E-5037,Delhi,Kolkata
6E-6096,Delhi,Kolkata
6E-6186,Delhi,Kolkata
6E-767,Delhi,Kolkata
G8-188,Delhi,Kolkata
G8-268,Delhi,Kolkata
6E-2087,Delhi,Kolkata
6E-6198,Delhi,Kolkata
6E-7336,Delhi,Kolkata
6E-5026,Delhi,Kolkata
6E-5016,Delhi,Kolkata
6E-6098,Delhi,Kolkata
6E-307,Delhi,Kolkata
6E-947,Delhi,Kolkata
6E-2016,Delhi,Kolkata
G8-105,Delhi,Kolkata
SG-263,Delhi,Kolkata
SG-292,Delhi,Kolkata
6E-546,Delhi,Kolkata
6E-972,Delhi,Kolkata
AI-407,Delhi,Kolkata
6E-6197,Delhi,Kolkata
6E-177,Delhi,Kolkata
6E-5071,Delhi,Kolkata
G8-404,Delhi,Kolkata
6E-2168,Delhi,Kolkata
G8-151,Delhi,Kolkata
6E-6282,Delhi,Kolkata
SG-8195,Delhi,Kolkata
AI-861,Delhi,Kolkata
UK-859,Delhi,Hyderabad
6E-2247,Delhi,Hyderabad
6E-2005,Delhi,Hyderabad
6E-6205,Delhi,Hyderabad
AI-542,Delhi,Hyderabad
AI-560,Delhi,Hyderabad
I5-747,Delhi,Hyderabad
SG-8946,Delhi,Hyderabad
AI-544,Delhi,Hyderabad
UK-829,Delhi,Hyderabad
UK-899,Delhi,Hyderabad
6E-2147,Delhi,Hyderabad
I5-1529,Delhi,Hyderabad
AI-459,Delhi,Hyderabad
AI-441,Delhi,Hyderabad
UK-871,Delhi,Hyderabad
UK-951,Delhi,Hyderabad
UK-945,Delhi,Hyderabad
UK-995,Delhi,Hyderabad
UK-963,Delhi,Hyderabad
6E-397,Delhi,Hyderabad
SG-8941,Delhi,Hyderabad
AI-469,Delhi,Hyderabad
AI-504,Delhi,Hyderabad
AI-502,Delhi,Hyderabad
AI-506,Delhi,Hyderabad
AI-803,Delhi,Hyderabad
G8-103,Delhi,Hyderabad
6E-2843,Delhi,Hyderabad
UK-933,Delhi,Hyderabad
AI-483,Delhi,Hyderabad
AI-479,Delhi,Hyderabad
I5-798,Delhi,Hyderabad
I5-775,Delhi,Hyderabad
AI-839,Delhi,Hyderabad
6E-6187,Delhi,Hyderabad
UK-813,Delhi,Hyderabad
UK-817,Delhi,Hyderabad
UK-819,Delhi,Hyderabad
AI-473,Delhi,Hyderabad
6E-2338,Delhi,Hyderabad
UK-955,Delhi,Hyderabad
6E-2479,Delhi,Hyderabad
AI-540,Delhi,Hyderabad
AI-429,Delhi,Hyderabad
AI-439,Delhi,Hyderabad
UK-747,Delhi,Hyderabad
AI-767,Delhi,Hyderabad
AI-401,Delhi,Hyderabad
UK-985,Delhi,Hyderabad
UK-977,Delhi,Hyderabad
AI-537,Delhi,Hyderabad
UK-927,Delhi,Hyderabad
UK-705,Delhi,Hyderabad
UK-673,Delhi,Hyderabad
AI-877,Delhi,Hyderabad
UK-707,Delhi,Hyderabad
I5-740,Delhi,Hyderabad
G8-188,Delhi,Hyderabad
6E-967,Delhi,Hyderabad
G8-422,Delhi,Hyderabad
UK-879,Delhi,Hyderabad
6E-2331,Delhi,Hyderabad
I5-550,Delhi,Hyderabad
UK-953,Delhi,Hyderabad
AI-636,Delhi,Hyderabad
AI-665,Delhi,Hyderabad
AI-887,Delhi,Hyderabad
AI-805,Delhi,Hyderabad
AI-624,Delhi,Hyderabad
AI-467,Delhi,Hyderabad
6E-358,Delhi,Hyderabad
UK-737,Delhi,Hyderabad
6E-2102,Delhi,Hyderabad
AI-885,Delhi,Hyderabad
G8-286,Delhi,Hyderabad
G8-300,Delhi,Hyderabad
SG-958,Delhi,Hyderabad
AI-493,Delhi,Hyderabad
I5-779,Delhi,Hyderabad
AI-764,Delhi,Hyderabad
AI-762,Delhi,Hyderabad
AI-807,Delhi,Hyderabad
SG-6027,Delhi,Hyderabad
I5-783,Delhi,Hyderabad
I5-787,Delhi,Hyderabad
AI-678,Delhi,Hyderabad
UK-637,Delhi,Hyderabad
6E-2938,Delhi,Hyderabad
UK-809,Delhi,Hyderabad
UK-801,Delhi,Hyderabad
